Region,Fuel,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North_America_excluding_US,Hydro,1.35,1.50,1.54,1.58,1.75,1.84,1.88,2.10,2.25,2.42,2.32,2.45,2.55,2.68,2.79,2.85,3.09,2.99,3.05,3.30,3.53,3.53,3.57,3.51,3.36,3.41,3.51,3.64,3.71,3.71,3.85,4.11,3.99,3.78,4.02,4.15,3.81,3.93,3.72,3.77,4.02,3.93,4.02,4.22,3.98,3.88,4.09,4.07,4.12,4.11,4.00,4.01,4.09,3.98,3.85,3.91,3.91
US,Hydro,2.12,2.13,2.42,2.43,2.73,2.70,2.90,2.97,2.96,3.27,3.26,3.09,2.40,3.05,3.04,3.00,2.84,3.36,3.61,3.49,3.06,3.16,2.72,2.43,2.92,3.11,3.06,2.68,2.97,2.76,3.31,3.70,3.79,3.43,3.37,2.90,2.22,2.71,2.82,2.72,2.75,2.92,2.47,2.54,2.73,2.57,3.14,2.70,2.62,2.49,2.39,2.54,2.84,2.76,2.71,2.67,2.43
Central_and_South_America,Hydro,0.44,0.49,0.52,0.55,0.59,0.70,0.78,0.88,0.99,1.14,1.23,1.38,1.52,1.68,1.91,2.14,2.18,2.34,2.52,2.78,3.02,3.26,3.48,3.61,3.70,3.84,4.10,4.17,4.51,4.77,4.94,5.13,5.42,5.54,5.56,5.86,5.46,5.69,5.90,6.06,6.38,6.63,6.81,6.82,6.95,6.93,7.30,7.13,6.87,6.62,6.43,6.55,6.72,6.76,6.57,6.54,6.22
Europe,Hydro,3.22,3.46,3.45,3.58,3.52,3.68,3.72,3.87,3.93,4.25,4.34,4.01,4.86,4.85,5.10,4.95,5.01,4.96,5.11,5.16,5.35,5.17,5.64,6.04,5.26,5.35,5.46,5.64,5.86,5.93,6.01,5.83,6.04,6.32,6.37,6.58,6.47,5.93,5.54,5.92,5.89,5.76,5.74,6.00,5.93,6.49,5.66,6.18,6.49,6.28,6.17,6.28,5.60,6.16,5.97,6.22,6.12
CIS,Hydro,0.87,0.98,0.94,1.11,1.23,1.32,1.34,1.31,1.30,1.41,1.34,1.44,1.56,1.81,1.83,1.96,1.99,1.86,1.92,2.16,2.07,2.08,2.10,2.18,2.12,2.25,2.25,2.30,2.37,2.41,2.35,2.12,2.11,2.11,2.16,2.22,2.30,2.18,2.15,2.34,2.30,2.27,2.31,2.10,2.19,2.17,2.11,2.10,2.25,2.16,2.09,2.27,2.30,2.33,2.36,2.49,2.51
Middle_East,Hydro,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.06,0.07,0.08,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.12,0.15,0.15,0.13,0.16,0.12,0.19,0.21,0.18,0.20,0.20,0.17,0.18,0.13,0.11,0.12,0.18,0.19,0.24,0.25,0.29,0.27,0.14,0.12,0.17,0.18,0.21,0.23,0.19,0.16,0.19,0.20,0.12,0.38,0.27,0.18
Africa,Hydro,0.15,0.17,0.17,0.20,0.24,0.29,0.28,0.32,0.33,0.38,0.40,0.44,0.49,0.49,0.53,0.51,0.53,0.53,0.48,0.47,0.53,0.54,0.52,0.57,0.60,0.61,0.65,0.62,0.60,0.61,0.64,0.66,0.68,0.71,0.75,0.80,0.86,0.89,0.86,0.90,0.92,0.94,0.97,0.98,1.00,1.08,1.10,1.10,1.15,1.21,1.17,1.13,1.21,1.28,1.32,1.38,1.45
China,Hydro,0.24,0.24,0.21,0.24,0.25,0.26,0.31,0.35,0.39,0.44,0.46,0.47,0.49,0.46,0.52,0.62,0.70,0.79,0.92,0.92,0.98,1.01,1.06,1.16,1.26,1.35,1.33,1.39,1.62,1.78,2.03,2.00,2.09,2.12,2.09,2.37,2.93,3.03,2.96,3.67,4.09,4.46,4.94,6.44,6.19,7.11,6.83,8.52,8.92,10.33,10.80,11.11,11.16,11.42,12.08,12.50,12.25
India,Hydro,0.20,0.21,0.24,0.28,0.31,0.32,0.36,0.34,0.37,0.35,0.42,0.44,0.48,0.60,0.58,0.59,0.63,0.53,0.51,0.57,0.55,0.56,0.52,0.58,0.67,0.71,0.79,0.75,0.75,0.85,0.81,0.74,0.75,0.89,0.88,0.82,0.76,0.72,0.72,1.04,1.00,1.15,1.25,1.17,1.07,1.09,1.31,1.14,1.29,1.36,1.29,1.24,1.30,1.33,1.54,1.55,1.51
Asia_Pacific_excluding_India_and_China,Hydro,1.22,1.28,1.18,1.27,1.30,1.34,1.46,1.49,1.31,1.52,1.59,1.57,1.44,1.47,1.64,1.70,1.76,1.69,1.76,1.69,1.87,1.93,1.89,2.11,2.20,2.19,2.26,2.14,2.32,2.08,2.31,2.30,2.23,2.39,2.36,2.37,2.34,2.34,2.52,2.54,2.41,2.59,2.49,2.49,2.47,2.77,2.96,2.80,3.22,3.17,3.09,3.34,3.57,3.70,3.38,3.57,3.69
